청약진행상황 AI Agent — 서브시스템 도출 및 SDK 커버리지 분석 (공개 LLM: Qwen3.8 적용안),,,,,,,,,,,,,,,,,,,
설계서 v1.0(2026-08-03) 기준 | UI 계약: agent-ui protocol v1.1 | 스택: Python + OpenAI Agents SDK + Qwen(자체호스팅 vLLM / OpenAI 호환 엔드포인트) | 커버리지는 'Qwen 사용 시' 기준으로 재평가,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
No,계층,서브시스템,핵심 기능 (쉬운 설명),위치,구분,"파일럿
우선순위","SDK
커버리지",역할,KB라이프 예제,대응 SDK 기능,자체개발영역,,커버리지 요약,,,,,,
1,상태,Session Store,이전 턴의 LLM 대화 내용을 저장·복원해 멀티턴이 이어지게 함,core/session.py,core,필수,SDK 제공,이전 대화 내용을 저장했다가 다음 턴에 합산 리턴하기 위한 저장장치,OpenAI Agent SDK,Session / SQLiteSession (자동 히스토리 관리) — 모델 무관,"저장소 경로·TTL·정리 정책, 세션ID 발급 규약",,구분,서브시스템 수,비중,,,,
2,실행,"Agent Loop 
(Runner)",LLM 호출 → 툴 실행 → 결과 재투입을 작업이 끝날 때까지 반복하는 핵심 루프,"core/runtime.py 
(얇은 배선 래퍼, 약 30줄)",core,필수,SDK 제공,LLM 호출과 툴 실행을 답이 완성될 때까지 반복 호출 수행,OpenAI Agent SDK,Runner.run / run_streamed (툴 루프·handoff 전환 내장) — SDK 레벨 로직이라 모델 교체 영향 없음,"루프 자체는 구현 대상 아님(SDK가 전부 수행). 우리 몫은 Runner.run 호출 파라미터 '조립'뿐 — session(1번)·BizContext(3번)·hooks(15번)·guardrail(5번)·RunConfig(model_provider, 6번)를 한 곳에서 배선. [Qwen] 스트리밍 tool call 버퍼링(use_responses=False), usage 집계(include_usage=True), 모델 서버 타임아웃·재시도가 걸리는 지점이라 파일 분리 시 6·14번과의 결합 지점이 명확해짐",,부분 커버,8,,,,,
3,상태,BizContext,"고객ID, 선택된 계약번호, 현재 flow 단계 등 '업무 상태'를 구조화해 보관",core/context.py,core,필수,부분 커버,진행 단계별 기호화된 획득 정보(코드)를 저장해두는 상태 보관소,locationCode: ,SDK: RunContextWrapper[BizContext] (실행 중 전달 그릇) — 모델 무관,"BizContext 모델 정의, 세션ID별 영속화/로드 로직",,합계,22,100%,,,,
4,계약,"UI Schema 
(UIResponse Pydantic)",응답 형식을 코드 레벨에서 강제. 에이전트가 자유 텍스트 대신 정해진 JSON 구조만 내도록 고정,core/ui_schema.py,core,필수,부분 커버,"프론트와 서버가 공유하는 응답 JSON 구조 선언(5,14에서 활용)",,output_type=UIResponse (response_format json_schema로 전달),"agent-ui v1.1 전체 Pydantic 모델 정의/이관, [Qwen] 서빙이 json_schema(guided decoding)를 지원해야만 성립 → 스키마 단순화·필드 축약으로 준수율 확보 (폴백은 14번)",,,,,,,,
5,품질,"Output Guardrail
(Structure Harness) 
","응답이 나갈 때마다 검사: 버튼 id 중복, sent_to 화이트리스트, 위험 액션 confirm 유무, 주민번호 노출 등",core/harness/output_rules.py,core,필수,부분 커버,"전사공통정책, 출력 직전(1번) 버튼 중복·민감정보 노출·허용 대상 위반을 걸러내는 최종 검사 게이트(4 참조) ",,@output_guardrail + tripwire (검사 훅·차단 메커니즘) — SDK 훅 기반이라 모델 무관,"정책 규칙 함수(run_policy_rules) 전부, 위반 시 대체 응답. [집행 지점] 출력 직전 최종 게이트 — 주민번호 등 민감정보 노출 검사는 9번 core/masking.py의 규칙을 import해 실행(규칙 중복 정의 금지). 버튼 id 중복·sent_to 화이트리스트·위험 액션 confirm 검사 포함. [Qwen] 스키마 이탈 출력이 늘어나므로 검사 항목 확대",,,,,,,,
6,인프라,"Model Provider 
추상화",어떤 LLM(OpenAI/Qwen)을 어디로 호출할지 한 곳에서 결정. 모델 교체를 파일 1개 수정으로 끝냄,core/model_provider.py,core,필수,부분 커버,호출 모델 관리(스위치),,AsyncOpenAI(base_url=...)+OpenAIChatCompletionsModel / LitellmModel / RunConfig(model_provider=...),"Qwen 엔드포인트·키·모델명 설정 외부화(ENV), Agent별 모델 매핑, 타임아웃·재시도·폴백(모델 다운 시 대체), Agent(model=""문자열"") 직접지정 금지 규약",,,,,,,,
7,운영,"Observability 
(Tracing/로깅)",모델 호출·툴 호출·handoff·가드레일까지 한 줄기로 기록해 실패를 재현·분석,core/observability/tracing.py,core,필수,자체 개발,모델·툴·handoff 호출 로그,,TracingProcessor 인터페이스·set_trace_processors 훅만 제공 (내장 대시보드는 OpenAI 전용),"[Qwen] 트레이스가 OpenAI로 안 가므로 자체 프로세서 구축(OTel/파일/DB), set_tracing_disabled 처리로 401 방지, 저장 직전 마스킹 파이프(9번 core/masking.py 규칙 import — 규칙 이원화 금지), conversation_id 라벨링, 턴 트리 조회 UI, 메타/원문 분리 보존 정책, 하네스 위반율·폴백 발동율 지표화(20번 연계). ※ 구현 항목 7건 상세는 Observability 시트 참조",,자체 개발,12,,,,,
8,진입/제어,"Chat Gateway 
(FastAPI)",사용자 입력(/chat)과 버튼 클릭(/chat/action)을 받는 단일 창구. sent_to 값을 보고 'agent' 또는 'api:*'로 갈라 보냄,core/gateway.py,core,필수,자체 개발,사용자 입력과 버튼 클릭을 모두 받아 처리 경로를 갈라주는 단일 진입 창구,,Runner.run 호출부만 SDK,"FastAPI 엔드포인트, sent_to 라우팅, postback→정형텍스트 변환, 타임아웃 정책(자체 GPU 지연 반영)",,,,,,,,
9,보안,인증·개인정보 경계,"로그인 세션에서 customer_id를 먼저 확정. LLM은 '누구 데이터인지' 결정하지 못하게 막고, 출력은 마스킹된 값만","core/auth.py, core/masking.py",core,필수,자체 개발,로그인 신원으로 조회 대상을 먼저 확정하고 민감정보를 가리는 보안 경계선,,context 주입 패턴(RunContextWrapper)만 제공,"인증 연동, customer_id 확정, [SSOT] 개인정보 판별·마스킹 규칙 정의(주민번호/계좌/연락처 정규식·마스킹 함수)를 core/masking.py 한 곳에 정의 → 5번 구조 하네스·7번 관측성이 import해 집행. 입력측(LLM 투입 전) 필터도 여기 담당. [Qwen] 온프레미스 자체호스팅이라 외부 전송이 없어 규제 대응상 유리 → 대신 GPU 노드 접근통제·로그 보관 정책 필요",,,,,,,,
10,확장성,Service Registry,서비스 1개 = 폴더 1개. 선언적 등록만으로 ①선택 메뉴 ②triage handoff ③eval 대상이 자동 생성,core/registry.py,core,필수,자체 개발,서비스 하나를 선언만 하면 메뉴·라우팅·테스트에 자동 편입시키는 등록 창구,,해당 없음,"ServiceDefinition 데이터클래스, register(), 메뉴/triage 빌더, 서비스별 모델 지정 필드(model) 추가",,,,,,,,
